値,名称,略名(4文字),略名(6文字),略名(8文字),欧字名
0,未設定・未整備時の初期値(主に地方競馬・海外国際レースに関するデータ),,,,
11,サラブレッド系2歳,サラ２才,サラ系２歳,サラ系２歳,TWO-YEAR-OLDS
12,サラブレッド系3歳,サラ３才,サラ系３歳,サラ系３歳,THREE-YEAR-OLDS
13,サラブレッド系3歳以上,サラ３上,サラ系３歳上,サラ系３歳以上,THREE-YEAR-OLDS & UP
14,サラブレッド系4歳以上,サラ４上,サラ系４歳上,サラ系４歳以上,FOUR-YEAR-OLDS & UP
18,サラブレッド系障害3歳以上,障害３上,障害３歳上,サラ障害３歳以上,THREE-YEAR-OLDS & UP STEEPLE-CHASE
19,サラブレッド系障害4歳以上,障害４上,障害４歳上,サラ障害４歳以上,FOUR-YEAR-OLDS & UP STEEPLE-CHASE
21,アラブ系2歳,アラ２才,アラ系２歳,アラブ系２歳,TWO-YEAR-OLDS ANGLO-ARABS
22,アラブ系3歳,アラ３才,アラ系３歳,アラブ系３歳,THREE-YEAR-OLDS ANGLO-ARABS
23,アラブ系3歳以上,アラ３上,アラ系３歳上,アラブ系３歳以上,THREE-YEAR-OLDS & UP ANGLO-ARABS
24,アラブ系4歳以上,アラ４上,アラ系４歳上,アラブ系４歳以上,FOUR-YEAR-OLDS & UP ANGLO-ARABS
